id,addr,port,identity,created,modify,lastbackup,sleeptime
159,46.228.16.170,256,k4-les-720-rt-c1009s-ospf,2018-07-11 01:19:23,,2020-08-02 22:34:19,0
160,46.228.19.214,256,k1-les-275-rt-750-0,2018-07-11 01:20:04,,2020-08-02 22:34:22,0
161,46.228.21.230,256,pt-pt-254-ap-otk-0,2018-07-11 01:21:52,,2020-08-02 22:34:25,0
162,46.228.22.22,256,mk_rtr_madecki,2018-07-11 01:24:06,,2018-12-01 22:37:04,0
163,46.228.19.124,256,k1-mas-9-rt-750-0,2018-07-11 01:29:35,,2020-06-28 22:34:34,0
164,46.228.16.250,256,k6-osv-1639-rt-750-0,2018-07-11 01:32:17,,2020-08-02 22:34:42,0
165,46.228.16.202,256,gw_zsmajak,2018-07-11 01:32:56,,2020-08-02 22:34:45,0
166,46.228.16.194,256,mk_rkkagw,2018-07-11 01:33:24,,2020-07-14 22:34:43,0
167,46.228.16.214,256,mk_autocentrumkarvina,2018-07-11 01:34:28,,2020-08-02 22:34:58,0
168,93.99.100.55,256,k7-sta-2203-rt-750-hot,2018-07-11 01:38:06,,,0
169,46.228.20.129,256,k6-hav-1821-rt-2011-0,2018-07-11 01:38:52,,2020-08-02 22:35:17,0
170,46.228.16.218,256,AstraOffice_Karvina,2018-07-11 01:44:27,,2020-08-02 22:35:19,0
171,46.228.25.235,256,k4-hri-251-rt-750-0,2018-07-11 01:47:02,,2020-08-02 22:35:22,0
172,10.20.5.100,256,k6-zav-540-br-sex-2474,2018-07-11 01:48:20,,2020-08-02 22:35:30,0
173,10.20.5.102,256,k6-spo-2474-ap-otk-0,2018-07-11 01:50:43,,2020-08-02 22:35:53,20
174,10.20.5.107,256,dou-58-ap-sxt-sikora,2018-07-11 02:13:38,,2018-10-20 22:38:14,0
175,10.20.6.4,256,pt-pt-290-sw-493g-0,2018-07-11 08:11:01,,2019-10-28 22:36:49,0
176,46.228.25.181,256,k9-tes-599-st-sxt-0,2018-07-11 08:32:31,,2019-04-08 22:37:36,0
177,93.99.100.120,256,mk_rtr_skwarlo,2018-07-11 08:36:39,,2020-08-02 22:35:59,0
179,46.228.20.4,256,k1-ksl-27-rt-2011-0,2018-07-11 08:43:27,,2020-08-02 22:36:02,0
180,46.228.24.250,256,k8-csa-2954-rt-433-rkka,2018-07-11 08:45:56,,2020-08-02 22:36:06,0
182,46.228.18.167,256,k1-mas-69-st-sxt-0,2018-07-11 08:47:52,,2019-01-28 22:39:04,0
183,46.228.18.189,256,mk_rtr_trznice,2018-07-11 08:48:29,,2020-08-02 22:36:10,0
184,46.228.21.223,256,pt-mar-249-st-433-0,2018-07-11 08:49:27,,2019-04-17 22:38:01,0
185,10.20.7.60,256,pt-pt-643-ap-433-0,2018-07-11 08:58:13,,2018-10-08 22:38:59,0
186,10.20.6.201,256,pt-pt-290-br-911-680,2018-07-11 09:01:19,,2020-08-02 22:36:16,0
187,10.20.6.202,256,pt-pt-680-br-911-290,2018-07-11 09:02:51,,2020-08-02 22:36:19,0
188,46.228.17.77,256,k4-far-28-ap-433-0,2018-07-11 22:27:35,,2020-08-01 22:36:20,0
189,46.228.18.171,256,rtr_PZKO_frystat,2018-07-11 22:30:36,,2020-08-02 22:37:49,0
190,10.20.1.4,256,pt-pt-556-sw-750-0,2018-07-12 11:36:42,,2020-08-02 22:37:52,0
191,10.20.5.32,256,k5-ols-459-ap-otk-0,2018-07-12 11:39:36,,2020-08-02 22:37:56,0
192,10.32.2.4,256,pt-zav-90-sw-750-0,2018-07-12 11:47:06,,2020-01-09 22:37:25,0
193,10.52.5.102,256,k4-slu-1016-sw-750-0,2018-07-12 12:05:18,,2020-08-02 22:38:00,0
194,10.52.5.103,256,k4-slu-1016-ap-433-s123,2018-07-12 16:22:49,,2020-08-02 22:38:05,0
195,10.52.1.4,256,k9-tes-427-sw-750-0,2018-07-12 16:25:10,,2020-08-02 22:38:08,0
197,46.228.19.115,256,k1-mas-36-rt-750-0,2018-07-12 16:38:13,,,0
198,88.146.160.3,256,mk_hospoda_vymenik,2018-07-12 16:49:21,,2019-01-29 22:39:46,0
199,46.228.16.206,256,k1-ksl-149-br-sxt-49,2018-07-12 16:59:04,,2020-08-02 22:38:22,0
201,10.20.5.4,256,k6-zav-540-br-gr5-2474,2018-07-13 05:51:37,,2019-12-23 22:38:37,0
203,10.40.1.20,256,k7-kop-2118-br-wap60-2107,2018-07-20 14:04:38,,2020-08-02 22:38:24,0
204,10.40.1.21,256,k7-kop-2107-br-wap60-2118,2018-07-20 14:05:13,,2020-08-02 22:38:26,0
205,46.228.16.138,256,k1-ksl-49-rt-c1016-ospf,2018-08-04 15:03:02,,2020-08-02 22:38:30,0
207,10.32.7.200,256,k5-fol-267-ap-433-s12,2018-08-13 08:18:49,,2020-08-02 22:38:33,0
208,10.80.6.82,256,k5-hli-369-sw-750-0,2018-08-13 10:14:46,,2020-08-02 22:38:35,0
209,10.80.6.83,256,k5-hli-369-ap-433-s12,2018-08-13 10:15:01,,2019-07-09 22:39:14,0
210,10.52.1.102,256,k9-zat-537-ap-otk-0,2018-08-16 11:48:14,,2020-08-02 22:38:37,0
211,10.20.9.4,256,pt-mar-46-sw-crs112-0,2018-09-03 11:55:56,,2020-08-02 22:38:46,0
212,10.20.9.6,256,pt-mar-46-ap-922-s12,2018-09-05 14:49:11,,2020-08-02 22:38:48,0
213,10.20.9.7,256,pt-mar-46-ap-922-s3,2018-09-05 14:49:22,,2020-08-02 22:38:51,0
214,10.20.9.8,256,pt-mar-46-ap-922-s4,2018-09-05 14:49:30,,2020-08-02 22:38:53,0
215,10.20.9.10,256,pt-mar-46-ap-922-s6,2018-09-05 14:50:00,,2020-08-02 22:38:55,0
216,10.51.1.105,256,k4-cio-625-br-lhg-660,2018-09-05 14:50:23,,2020-08-02 22:38:57,0
217,10.20.9.9,256,pt-mar-46-ap-922-s5,2018-09-05 15:20:53,,2020-08-02 22:38:59,0
218,10.20.7.151,256,pt-pt-186-sw-960-0,2018-09-07 18:07:35,,2018-09-10 22:41:29,0
219,10.20.7.156,256,pt-pt-186-ap-922-s2,2018-09-07 18:07:57,,2020-08-02 22:39:02,0
220,10.20.7.157,256,pt-pt-186-ap-otk-0,2018-09-07 18:08:06,,2020-08-02 22:39:05,0
221,10.20.7.155,256,pt-pt-186-ap-922-s1,2018-09-07 18:11:46,,2020-08-02 22:39:07,0
222,10.20.6.152,256,pt-prs-117-ap-otk-0,2018-09-11 10:16:33,,2020-08-02 22:39:09,0
223,10.20.6.153,256,pt-prs-117-br-lhg-9,2018-09-11 10:16:54,,2020-08-02 22:39:12,0
224,10.20.6.155,256,pt-prs-9-ap-433-s1,2018-09-11 12:18:35,,2020-08-02 22:39:16,0
225,10.32.6.100,256,k6-17l-2417-br-711-319,2018-10-15 16:03:12,,2020-06-06 22:38:56,0
226,10.32.6.101,256,k5-rek-319-br-lhg-2417,2018-10-16 10:18:24,,2020-08-02 22:39:32,0
227,10.20.7.8,256,pt-pt-24-ap-922-s3,2018-12-12 15:24:24,,2020-08-02 22:39:35,0
229,10.9.1.19,256,dou-346-ap-922-s4,2018-12-19 19:47:26,,2020-08-02 22:39:38,0
230,10.42.1.11,256,k7-maj-2045-br-lhg-2009,2019-01-18 16:11:13,,2020-08-02 22:39:40,0
231,10.42.1.10,256,k7-bor-2009-br-lhg-2045,2019-01-18 16:11:19,,2020-08-02 22:39:41,0
233,46.228.19.102,256,vpn_serv,2019-01-28 19:00:24,,2020-08-02 22:39:46,0
234,10.20.2.10,256,k6-zav-540-ap-922-s3,2019-03-01 14:27:18,,2019-10-23 22:39:41,0
235,10.9.2.250,256,dou-346-sw-crs112-0,2019-03-05 21:57:41,,2020-08-02 22:39:54,0
236,10.20.7.165,256,pt-mar-89-ap-433-0,2019-03-11 22:29:17,,2020-08-02 22:39:57,0
237,46.228.18.250,256,Benjamin_rtr,2019-03-27 18:42:19,,2020-08-02 22:40:01,0
238,10.32.6.5,256,k6-17l-2417-ap-922-s7,2019-04-16 13:43:33,,2020-08-02 22:40:04,0
239,10.12.10.2,256,k1-ksl-49-br-disc-6,2019-05-07 15:45:53,,2020-08-02 22:40:06,0
240,10.32.7.4,256,k6-17l-2417-ap-922-s5,2019-06-09 13:58:40,,2020-08-02 22:40:08,0
241,10.20.2.9,256,k6-zav-540-ap-922-s1,2019-06-09 14:39:10,,2019-10-23 22:40:06,0
242,10.53.1.102,256,k1-sad-1011-ap-otk-0,2019-06-21 12:22:14,,2020-08-02 22:40:11,0
243,10.53.1.153,256,alb-pas-867-ap-433-0,2019-06-24 06:34:29,,2019-11-18 22:40:18,0
244,10.51.1.122,256,k4-cio-625-br-lhg-513,2019-07-18 13:32:44,,2020-02-18 22:39:49,0
245,10.20.7.5,256,pt-pt-24-ap-922-s2,2019-07-23 21:46:17,,2020-08-02 22:40:14,0
246,10.20.7.6,256,pt-pt-24-ap-lhg-s4,2019-07-23 21:46:43,,2020-08-02 22:40:17,0
247,10.20.7.4,256,pt-pt-24-sw-crs112-0,2019-07-23 21:48:27,,2020-08-02 22:40:26,0
248,10.50.1.50,22,k4-ale-649-br-lhg-680,2019-07-28 15:30:29,,2020-08-02 22:40:28,0
251,10.80.6.7,256,k8-csa-2953-ap-922-s4,2019-09-02 20:42:25,,2020-08-02 22:40:30,0
252,46.228.19.100,256,k1-mas-2457-rt-850-orka,2019-09-10 14:35:28,,2020-08-02 22:40:33,0
253,10.12.5.2,256,k1-ksl-49-ap-922-s5,2019-09-10 14:36:02,,2020-08-02 22:40:36,0
254,10.41.2.15,256,k4-bor-343-ap-922-s2,2019-10-01 12:11:40,,2020-08-02 22:40:38,0
255,10.41.2.14,256,k4-bor-343-ap-922-s1,2019-10-01 12:12:16,,2020-08-02 22:40:43,0
256,10.20.2.4,256,k6-zav-540-ap-922-s1,2019-10-29 14:12:32,,2020-08-02 22:40:45,0
257,10.20.2.5,256,k6-zav-540-ap-922-s2,2019-10-29 14:13:37,,2020-08-02 22:40:47,0
258,10.20.2.6,256,k6-zav-540-ap-922-s3,2019-10-29 14:14:02,,2020-08-02 22:40:49,0
259,10.20.2.7,256,k6-zav-540-ap-922-s4,2019-10-29 14:14:21,,2020-08-02 22:40:52,0
260,10.20.2.8,256,k6-zav-540-ap-922-s5,2019-10-29 14:57:50,,2020-08-02 22:40:54,0
262,46.228.17.13,256,cechova_rtr,2019-12-05 23:26:08,,2020-07-21 22:39:49,0
263,46.228.16.126,256,k7-stu-2361-rt-ccr1009-ospf,2019-12-12 15:12:04,,2020-08-02 22:41:14,0
264,46.228.19.105,256,Helmardent_main_rtr,2020-01-14 22:29:37,,2020-08-02 22:41:16,0
265,10.32.7.82,256,k1-zah-861-ap-otk-0,2020-01-28 01:14:54,,2020-08-02 22:41:19,0
266,10.14.3.6,256,k7-kop-2135-ap-922-s3,2020-01-28 14:12:19,,2020-08-02 22:41:22,0
268,10.14.4.100,256,k7-caj-2214-ap-922-s1,2020-03-31 17:11:35,,2020-08-02 22:41:24,0
269,86.63.218.70,256,MikroTik_Lovosice,2020-04-17 20:06:45,,2020-08-02 22:41:29,0
270,46.228.16.122,256,k4-pol-241-rt-3011-ospf,2020-05-02 08:17:18,,2020-06-09 22:40:29,0
271,10.33.0.16,256,k4-sth-248-ap-922-s1,2020-05-05 10:15:00,,2020-08-02 22:41:41,0
272,10.33.0.15,256,k4-sth-248-ap-otk-0,2020-05-05 14:42:56,,2020-08-02 22:41:44,0
273,10.12.1.9,256,k3-laz-254-ap-912-s45,2020-05-14 10:21:58,,2020-08-02 22:41:48,0
274,10.12.1.8,256,k3-laz-254-ap-912-s3,2020-05-14 10:22:21,,2020-08-02 22:41:51,0
275,10.12.1.7,256,k3-laz-254-ap-922-s2,2020-05-14 10:22:51,,2020-08-02 22:41:53,0
276,10.12.1.6,256,k3-laz-254-ap-922-s1,2020-05-14 10:22:58,,2020-08-02 22:41:55,0
277,46.228.18.22,256,k3-laz-254-rt-433-hot,2020-05-15 11:27:52,,2020-08-02 22:41:59,0
279,10.80.5.11,256,k7-les-263-ap-922-s6,2020-06-09 08:58:41,,2020-08-02 22:42:02,0
280,10.80.5.10,256,k7-les-263-ap-911-s5,2020-06-09 08:58:51,,2020-08-02 22:42:04,0
281,10.80.5.9,256,k7-les-263-ap-911-s4,2020-06-09 08:59:01,,2020-08-02 22:42:06,0
282,10.80.5.5,256,k7-les-263-sw-960-1,2020-06-09 08:59:42,,2020-08-02 22:42:09,0
283,10.80.5.6,256,k7-les-263-ap-922-s1,2020-06-09 08:59:50,,2020-08-02 22:42:11,0
284,10.80.5.7,256,k7-les-263-ap-922-s2,2020-06-09 08:59:58,,2020-08-02 22:42:14,0
285,10.80.5.8,256,k7-les-263-ap-922-s3,2020-06-09 09:00:05,,2020-08-02 22:42:16,0
286,10.33.0.100,256,k4-vis-255-ap-922-s12,2020-06-17 10:20:53,,2020-08-02 22:42:19,0
288,10.33.0.92,256,k4-vis-255-sw-960-0,2020-06-18 11:40:48,,2020-08-02 22:42:21,0
289,10.33.0.132,256,k4-sth-68-ap-otk-0,2020-06-18 11:42:18,,2020-07-01 22:41:21,0
290,10.80.7.13,256,k5-pan-328-ap-otk-0,2020-07-23 10:34:10,,2020-08-02 22:42:25,0
